time_s,coil,emf_mV
0.000000,1,-24.2030
0.001450,2,-92.4220
0.002900,1,-12.8440
0.004350,2,-87.0310
0.005800,1,-1.4060
0.007250,2,-81.7500
0.008700,1,10.1250
0.010150,2,-76.0940
0.011600,1,21.5000
0.013050,2,-70.3750
0.014500,1,32.7030
0.015950,2,-64.6250
0.017400,1,44.5310
0.018850,2,-57.8590
0.020300,1,55.3280
0.021750,2,-51.2340
0.023200,1,66.3440
0.024650,2,-44.6410
0.026100,1,77.5000
0.027550,2,-38.2500
0.029000,1,87.6250
0.030450,2,-31.7500
0.031900,1,97.7190
0.033350,2,-24.2340
0.034800,1,108.3440
0.036250,2,-16.6870
0.037700,1,117.8590
0.039150,2,-10.2340
0.040600,1,127.1720
0.042050,2,-3.3280
0.043500,1,135.5630
0.044950,2,4.0000
0.046400,1,144.3750
0.047850,2,11.0000
0.049300,1,152.8440
0.050750,2,18.2190
0.052200,1,160.1090
0.053650,2,25.4690
0.055100,1,167.3130
0.056550,2,32.2660
0.058000,1,174.4220
0.059450,2,38.6560
0.060900,1,180.1880
0.062350,2,45.8280
0.063800,1,186.0000
0.065250,2,52.2340
0.066700,1,191.0780
0.068150,2,58.7500
0.069600,1,196.0000
0.071050,2,64.6560
0.072500,1,199.5160
0.073950,2,70.9380
0.075400,1,202.5470
0.076850,2,77.2030
0.078300,1,205.1090
0.079750,2,82.4380
0.081200,1,207.2340
0.082650,2,87.2340
0.084100,1,209.1090
0.085550,2,92.9380
0.087000,1,209.4690
0.088450,2,97.5940
0.089900,1,209.3280
0.091350,2,102.1090
0.092800,1,208.6560
0.094250,2,106.2500
0.095700,1,207.9060
0.097150,2,109.8910
0.098600,1,205.9060
0.100050,2,113.9530
0.101500,1,203.5000
0.102950,2,116.5310
0.104400,1,200.5470
0.105850,2,119.5160
0.107300,1,197.2810
0.108750,2,122.2500
0.110200,1,192.6720
0.111650,2,123.8750
0.113100,1,188.3280
0.114550,2,125.6090
0.116000,1,182.9840
0.117450,2,127.5310
0.118900,1,177.0780
0.120350,2,128.0630
0.121800,1,170.7660
0.123250,2,128.7970
0.124700,1,163.9220
0.126150,2,129.5470
0.127600,1,156.5780
0.129050,2,128.8130
0.130500,1,148.2970
0.131950,2,128.1250
0.133400,1,139.9380
0.134850,2,127.6090
0.136300,1,131.5630
0.137750,2,125.7660
0.139200,1,122.6090
0.140650,2,123.8910
0.142100,1,112.5630
0.143550,2,121.4220
0.145000,1,102.8750
0.146450,2,119.0940
0.147900,1,92.5630
0.149350,2,116.3440
0.150800,1,82.3910
