time_s,pwm_set,pwm_now,dir,rpm,f1_Hz,f2_Hz,peak1_mV,peak2_mV,rms1_mV,rms2_mV,sps,dropped
0.042,180,180,F,181.2,3.019,3.019,209.61,130.14,147.32,91.61,690,0
0.242,180,180,F,181.2,3.02,3.02,209.61,130.14,147.11,91.37,690,0
0.442,180,180,F,181.2,3.02,3.02,209.89,130.14,147.36,91.24,690,0
0.642,180,180,F,181.2,3.02,3.02,209.89,130.19,147.67,91.35,690,0
0.842,180,180,F,181.2,3.02,3.02,209.89,130.19,147.91,91.54,690,0
1.043,180,180,F,181.2,3.021,3.021,209.89,130.3,147.51,91.68,690,0
1.243,180,180,F,181.2,3.021,3.021,209.89,130.3,147.35,91.46,690,0
1.443,180,180,F,181.2,3.021,3.021,209.89,130.3,147.57,91.35,690,0
1.643,180,180,F,181.2,3.021,3.021,209.89,130.3,147.75,91.47,690,0
1.843,180,180,F,181.2,3.021,3.021,209.89,130.3,147.89,91.6,690,0
2.043,180,180,F,181.2,3.021,3.021,209.86,130.3,147.48,91.68,690,0
2.243,180,180,F,181.2,3.021,3.021,209.86,130.3,147.38,91.45,690,0
2.443,180,180,F,181.2,3.021,3.021,209.86,130,147.66,91.38,690,0
2.643,180,180,F,181.2,3.021,3.021,209.73,130.13,147.78,91.54,690,0
2.843,180,180,F,181.2,3.021,3.021,209.91,130.13,147.84,91.64,690,0
3.044,180,180,F,181.2,3.021,3.021,209.91,130.13,147.43,91.66,690,0
3.244,180,180,F,181.2,3.021,3.021,209.91,130.13,147.39,91.43,690,0
3.444,180,180,F,181.2,3.021,3.021,209.95,130.13,147.75,91.4,690,0
3.644,180,180,F,181.2,3.021,3.021,209.95,130.13,147.8,91.59,690,0
3.844,180,180,F,181.2,3.021,3.021,209.95,130.13,147.79,91.65,690,0
4.044,180,180,F,181.2,3.021,3.021,209.95,130.13,147.42,91.62,690,0
4.244,180,180,F,181.2,3.021,3.021,209.95,130.02,147.43,91.42,690,0
4.444,180,180,F,181.2,3.021,3.021,209.95,130.02,147.81,91.42,690,0
4.644,180,180,F,181.2,3.021,3.021,209.95,130.06,147.79,91.64,690,0
4.844,180,180,F,181.2,3.021,3.021,209.95,130.06,147.69,91.66,690,0
5.045,180,180,F,181.2,3.021,3.021,209.84,130.08,147.39,91.59,690,0
5.245,180,180,F,181.2,3.021,3.021,209.97,130.08,147.46,91.4,690,0
5.445,180,180,F,181.2,3.021,3.021,209.97,130.14,147.87,91.44,690,0
5.645,180,180,F,181.2,3.021,3.021,209.97,130.14,147.77,91.68,690,0
5.845,180,180,F,181.2,3.021,3.021,209.97,130.14,147.62,91.63,690,0
6.045,180,180,F,181.2,3.021,3.021,209.97,130.14,147.39,91.53,690,0
